text,expected_sentiment,model_output,confidence_score
"@stellargirl I loooooooovvvvvveee my Kindle2. Not that the DX is cool, but the 2 is fantastic in its own right.",positive,POS,0.9930258989334106
Reading my kindle2...  Love it... Lee childs is good read.,positive,POS,0.9930779337882996
"Ok, first assesment of the #kindle2 ...it fucking rocks!!!",positive,POS,0.9925227761268616
@kenburbary You'll love your Kindle2. I've had mine for a few months and never looked back. The new big one is huge! No need for remorse! :),positive,POS,0.9929333925247192
@mikefish  Fair enough. But i have the Kindle2 and I think it's perfect  :),positive,POS,0.9929141998291016
@richardebaker no. it is too big. I'm quite happy with the Kindle2.,positive,POS,0.7033514380455017
Fuck this economy. I hate aig and their non loan given asses.,negative,NEG,0.9829120635986328
Jquery is my new best friend.,positive,POS,0.9906367659568787
Loves twitter,positive,POS,0.9890959858894348
how can you not love Obama? he makes jokes about himself.,positive,POS,0.9636840224266052
Check this video out -- President Obama at the White House Correspondents' Dinner http://bit.ly/IMXUM,neutral,NEU,0.9188733696937561
"@Karoli I firmly believe that Obama/Pelosi have ZERO desire to be civil.  It's a charade and a slogan, but they want to destroy conservatism",negative,NEG,0.975517213344574
"House Correspondents dinner was last night whoopi, barbara &amp; sherri went, Obama got a standing ovation",positive,NEU,0.6748230457305908
Watchin Espn..Jus seen this new Nike Commerical with a Puppet Lebron..sh*t was hilarious...LMAO!!!,positive,POS,0.9017340540885925
"dear nike, stop with the flywire. that shit is a waste of science. and ugly. love, @vincentx24x",negative,NEG,0.9671867489814758
"#lebron best athlete of our generation, if not all time (basketball related) I don't want to get into inter-sport debates about   __1/2",positive,POS,0.7874441742897034
I was talking to this guy last night and he was telling me that he is a die hard Spurs fan.  He also told me that he hates LeBron James.,negative,NEG,0.5892916917800903
i love lebron. http://bit.ly/PdHur,positive,POS,0.9929505586624146
"@ludajuice Lebron is a Beast, but I'm still cheering 4 the A..til the end.",negative,POS,0.9765253067016602
@Pmillzz lebron IS THE BOSS,positive,POS,0.9697580933570862
"@sketchbug Lebron is a hometown hero to me, lol I love the Lakers but let's go Cavs, lol",positive,POS,0.9919661283493042
lebron and zydrunas are such an awesome duo,positive,POS,0.9918946623802185
@wordwhizkid Lebron is a beast... nobody in the NBA comes even close.,positive,POS,0.9447190165519714
downloading apps for my iphone! So much fun :-) There literally is an app for just about anything.,positive,POS,0.992387056350708
"good news, just had a call from the Visa office, saying everything is fine.....what a relief! I am sick of scams out there! Stealing!",positive,POS,0.8712958097457886
http://twurl.nl/epkr4b - awesome come back from @biz (via @fredwilson),positive,POS,0.9904553294181824
In montreal for a long weekend of R&amp;R. Much needed.,positive,POS,0.7536278963088989
Booz Allen Hamilton has a bad ass homegrown social collaboration platform. Way cool!  #ttiv,positive,POS,0.9884238839149475
[#MLUC09] Customer Innovation Award Winner: Booz Allen Hamilton -- http://ping.fm/c2hPP,positive,NEU,0.7386176586151123
"@SoChi2 I current use the Nikon D90 and love it, but not as much as the Canon 40D/50D. I chose the D90 for the  video feature. My mistake.",positive,POS,0.5937069654464722
need suggestions for a good IR filter for my canon 40D ... got some? pls DM,neutral,NEU,0.846537709236145
@surfit: I just checked my google for my business- blip shows up as the second entry! Huh. Is that a good or ba... ? http://blip.fm/~6emhv,neutral,NEU,0.8429215550422668
"@phyreman9 Google is always a good place to look. Should've mentioned I worked on the Mustang w/ my Dad, @KimbleT.",positive,POS,0.9389964938163757
Played with an android google phone. The slide out screen scares me I would break that fucker so fast. Still prefer my iPhone.,negative,NEG,0.9390625357627869
US planning to resume the military tribunals at Guantanamo Bay... only this time those on trial will be AIG execs and Chrysler debt holders,negative,NEU,0.9502393007278442
omg so bored &amp; my tattoooos are so itchy!!  help! aha =),negative,NEG,0.79802006483078
