text,expected_sentiment,model_output,confidence_score
"@stellargirl I loooooooovvvvvveee my Kindle2. Not that the DX is cool, but the 2 is fantastic in its own right.",positive,positive,0.9839921593666077
Reading my kindle2...  Love it... Lee childs is good read.,positive,positive,0.9873185753822327
"Ok, first assesment of the #kindle2 ...it fucking rocks!!!",positive,positive,0.9485466480255127
@kenburbary You'll love your Kindle2. I've had mine for a few months and never looked back. The new big one is huge! No need for remorse! :),positive,positive,0.9834555983543396
@mikefish  Fair enough. But i have the Kindle2 and I think it's perfect  :),positive,positive,0.9709420204162598
@richardebaker no. it is too big. I'm quite happy with the Kindle2.,positive,positive,0.8241510391235352
Fuck this economy. I hate aig and their non loan given asses.,negative,negative,0.9556979537010193
Jquery is my new best friend.,positive,positive,0.9489337205886841
Loves twitter,positive,positive,0.9410896897315979
how can you not love Obama? he makes jokes about himself.,positive,positive,0.5331134796142578
Check this video out -- President Obama at the White House Correspondents' Dinner http://bit.ly/IMXUM,neutral,neutral,0.7937622666358948
"@Karoli I firmly believe that Obama/Pelosi have ZERO desire to be civil.  It's a charade and a slogan, but they want to destroy conservatism",negative,negative,0.9141016006469727
"House Correspondents dinner was last night whoopi, barbara &amp; sherri went, Obama got a standing ovation",positive,neutral,0.6999669671058655
Watchin Espn..Jus seen this new Nike Commerical with a Puppet Lebron..sh*t was hilarious...LMAO!!!,positive,positive,0.7188707590103149
"dear nike, stop with the flywire. that shit is a waste of science. and ugly. love, @vincentx24x",negative,negative,0.9143409132957458
"#lebron best athlete of our generation, if not all time (basketball related) I don't want to get into inter-sport debates about   __1/2",positive,neutral,0.5057389736175537
I was talking to this guy last night and he was telling me that he is a die hard Spurs fan.  He also told me that he hates LeBron James.,negative,negative,0.5379146933555603
i love lebron. http://bit.ly/PdHur,positive,positive,0.969782829284668
"@ludajuice Lebron is a Beast, but I'm still cheering 4 the A..til the end.",negative,positive,0.9351060390472412
@Pmillzz lebron IS THE BOSS,positive,positive,0.8160066604614258
"@sketchbug Lebron is a hometown hero to me, lol I love the Lakers but let's go Cavs, lol",positive,positive,0.9685060977935791
lebron and zydrunas are such an awesome duo,positive,positive,0.9664830565452576
@wordwhizkid Lebron is a beast... nobody in the NBA comes even close.,positive,positive,0.9206796884536743
downloading apps for my iphone! So much fun :-) There literally is an app for just about anything.,positive,positive,0.9849114418029785
"good news, just had a call from the Visa office, saying everything is fine.....what a relief! I am sick of scams out there! Stealing!",positive,positive,0.6426230669021606
http://twurl.nl/epkr4b - awesome come back from @biz (via @fredwilson),positive,positive,0.9801822900772095
In montreal for a long weekend of R&amp;R. Much needed.,positive,positive,0.9420772194862366
Booz Allen Hamilton has a bad ass homegrown social collaboration platform. Way cool!  #ttiv,positive,positive,0.9709967374801636
[#MLUC09] Customer Innovation Award Winner: Booz Allen Hamilton -- http://ping.fm/c2hPP,positive,positive,0.7423931360244751
"@SoChi2 I current use the Nikon D90 and love it, but not as much as the Canon 40D/50D. I chose the D90 for the  video feature. My mistake.",positive,neutral,0.43793532252311707
need suggestions for a good IR filter for my canon 40D ... got some? pls DM,neutral,neutral,0.7366570234298706
@surfit: I just checked my google for my business- blip shows up as the second entry! Huh. Is that a good or ba... ? http://blip.fm/~6emhv,neutral,neutral,0.6165425181388855
"@phyreman9 Google is always a good place to look. Should've mentioned I worked on the Mustang w/ my Dad, @KimbleT.",positive,positive,0.6583135724067688
Played with an android google phone. The slide out screen scares me I would break that fucker so fast. Still prefer my iPhone.,negative,negative,0.8566864728927612
US planning to resume the military tribunals at Guantanamo Bay... only this time those on trial will be AIG execs and Chrysler debt holders,negative,neutral,0.7427939176559448
omg so bored &amp; my tattoooos are so itchy!!  help! aha =),negative,negative,0.8590397238731384
I'm itchy and miserable!,negative,negative,0.9076961278915405
"@sekseemess no. I'm not itchy for now. Maybe later, lol.",negative,neutral,0.5044835805892944
RT @jessverr I love the nerdy Stanford human biology videos - makes me miss school. http://bit.ly/13t7NR,positive,positive,0.9506603479385376
"@spinuzzi: Has been a bit crazy, with steep learning curve, but LyX is really good for long docs. For anything shorter, it would be insane.",positive,positive,0.8642594218254089
"I'm listening to ""P.Y.T"" by Danny Gokey &lt;3 &lt;3 &lt;3 Aww, he's so amazing. I &lt;3 him so much :)",positive,positive,0.9901077747344971
is going to sleep then on a bike ride:],positive,neutral,0.8133415579795837
cant sleep... my tooth is aching.,negative,negative,0.9128068089485168
"Blah, blah, blah same old same old. No plans today, going back to sleep I guess.",negative,negative,0.8240058422088623
"glad i didnt do Bay to Breakers today, it's 1000 freaking degrees in San Francisco wtf",negative,negative,0.8569318652153015
is in San Francisco at Bay to Breakers.,neutral,neutral,0.9439024329185486
just landed at San Francisco,neutral,neutral,0.7720442414283752
San Francisco today.  Any suggestions?,neutral,neutral,0.9385477304458618
?Obama Administration Must Stop Bonuses to AIG Ponzi Schemers ... http://bit.ly/2CUIg,negative,neutral,0.517593264579773
started to think that Citi is in really deep s&amp;^t. Are they gonna survive the turmoil or are they gonna be the next AIG?,negative,negative,0.8783857226371765
ShaunWoo hate'n on AiG,negative,negative,0.7402079701423645
@YarnThing you will not regret going to see Star Trek. It was AWESOME!,positive,positive,0.9886643290519714
On my way to see Star Trek @ The Esquire.,neutral,positive,0.6252121329307556
Going to see star trek soon with my dad.,neutral,positive,0.7754281163215637
annoying new trend on the internets:  people picking apart michael lewis and malcolm gladwell.  nobody wants to read that.,negative,negative,0.9273456931114197
Bill Simmons in conversation with Malcolm Gladwell http://bit.ly/j9o50,neutral,neutral,0.9237478971481323
Highly recommend: http://tinyurl.com/HowDavidBeatsGoliath by Malcolm Gladwell,positive,positive,0.9155013561248779
Blink by malcolm gladwell amazing book and The tipping point!,positive,positive,0.975119411945343
Malcolm Gladwell might be my new man crush,positive,positive,0.6605350971221924
omg. The commercials alone on ESPN are going to drive me nuts.,negative,negative,0.8275812268257141
@robmalon Playing with Twitter API sounds fun.  May need to take a class or find a new friend who like to generate results with API code.,positive,positive,0.8401217460632324
playing with cURL and the Twitter API,neutral,neutral,0.9381253719329834
Hello Twitter API ;),positive,positive,0.9204005599021912
playing with Java and the Twitter API,neutral,neutral,0.9024088978767395
@morind45 Because the twitter api is slow and most client's aren't good.,negative,negative,0.8983302712440491
yahoo answers can be a butt sometimes,negative,negative,0.776302695274353
is scrapbooking with Nic =D,positive,positive,0.6798800230026245
RT @mashable: Five Things Wolfram Alpha Does Better (And Vastly Different) Than Google - http://bit.ly/6nSnR,positive,positive,0.6902387142181396
just changed my default pic to a Nike basketball cause bball is awesome!!!!!,positive,positive,0.9755978584289551
"Nike owns NBA Playoffs ads w/ LeBron, Kobe, Carmelo? http://ow.ly/7Uiy  #Adidas #Billups #Howard  #Marketing #Branding",neutral,neutral,0.9408354163169861
"'Next time, I'll call myself Nike'",neutral,neutral,0.7497150897979736
New blog post: Nike SB Dunk Low Premium 'White Gum' http://tr.im/lOtT,neutral,neutral,0.8588358759880066
RT @SmartChickPDX: Was just told that Nike layoffs started today :-(,negative,negative,0.8915079832077026
Back when I worked for Nike we had one fav word : JUST DO IT! :),positive,positive,0.9343926310539246
"By the way, I'm totally inspired by this freaky Nike commercial: http://snurl.com/icgj9",positive,positive,0.9022311568260193
"giving weka an app engine interface, using the bird strike data for the tests, the logo is a given.",neutral,neutral,0.8912994265556335
"Brand New Canon EOS 50D 15MP DSLR Camera Canon 17-85mm IS Lens ...: Web Technology Thread, Brand New Canon EOS 5.. http://u.mavrev.com/5a3t",neutral,neutral,0.7339822053909302
Class... The 50d is supposed to come today :),positive,positive,0.8872783184051514
needs someone to explain lambda calculus to him! :(,negative,negative,0.828490674495697
Took the Graduate Field Exam for Computer Science today.  Nothing makes you feel like more of an idiot than lambda calculus.,negative,negative,0.8328717947006226
SHOUT OUTS TO ALL EAST PALO ALTO FOR BEING IN THE BUILDIN KARIZMAKAZE 50CAL GTA! ALSO THANKS TO PROFITS OF DOOM UNIVERSAL HEMPZ CRACKA......,positive,positive,0.9281622767448425
"@legalgeekery Yeahhhhhhhhh, I wouldn't really have lived in East Palo Alto if I could have avoided it.  I guess it's only for the summer.",negative,negative,0.6759321689605713
@accannis @edog1203 Great Stanford course. Thanks for making it available to the public! Really helpful and informative for starting off!,positive,positive,0.987235963344574
"NVIDIA Names Stanford's Bill Dally Chief Scientist, VP Of Research http://bit.ly/Fvvg9",neutral,neutral,0.8872758746147156
New blog post: Harvard Versus Stanford - Who Wins? http://bit.ly/MCoCo,neutral,neutral,0.8859540224075317
@ work til 6pm... lets go lakers!!!,positive,positive,0.864747166633606
Damn you North Korea. http://bit.ly/KtMeQ,negative,negative,0.9297789335250854
Can we just go ahead and blow North Korea off the map already?,negative,negative,0.635554850101471
"North Korea, please cease this douchebaggery. China doesn't even like you anymore. http://bit.ly/NeHSl",negative,negative,0.922915518283844
Why the hell is Pelosi in freakin China? and on whose dime?,negative,negative,0.9170127511024475
"Are YOU burning more cash $$$ than Chrysler and GM? Stop the financial tsunami. Where ""bailout"" means taking a handout!",negative,negative,0.8706596493721008
insects have infected my spinach plant :(,negative,negative,0.9322084188461304
wish i could catch every mosquito in the world n burn em slowly.they been bitin the shit outta me 2day.mosquitos are the assholes of insects,negative,negative,0.9365996718406677
