text,expected_sentiment,model_output,confidence_score
"@stellargirl I loooooooovvvvvveee my Kindle2. Not that the DX is cool, but the 2 is fantastic in its own right.",positive,LABEL_2,0.9880869388580322
Reading my kindle2...  Love it... Lee childs is good read.,positive,LABEL_2,0.9891506433486938
"Ok, first assesment of the #kindle2 ...it fucking rocks!!!",positive,LABEL_2,0.8599099516868591
@kenburbary You'll love your Kindle2. I've had mine for a few months and never looked back. The new big one is huge! No need for remorse! :),positive,LABEL_2,0.9893607497215271
@mikefish  Fair enough. But i have the Kindle2 and I think it's perfect  :),positive,LABEL_2,0.9766830801963806
@richardebaker no. it is too big. I'm quite happy with the Kindle2.,positive,LABEL_2,0.902443528175354
Fuck this economy. I hate aig and their non loan given asses.,negative,LABEL_0,0.9810739159584045
Jquery is my new best friend.,positive,LABEL_2,0.9399009943008423
Loves twitter,positive,LABEL_2,0.9635493755340576
how can you not love Obama? he makes jokes about himself.,positive,LABEL_0,0.48157256841659546
Check this video out -- President Obama at the White House Correspondents' Dinner http://bit.ly/IMXUM,neutral,LABEL_1,0.8838744163513184
"@Karoli I firmly believe that Obama/Pelosi have ZERO desire to be civil.  It's a charade and a slogan, but they want to destroy conservatism",negative,LABEL_0,0.8751182556152344
"House Correspondents dinner was last night whoopi, barbara &amp; sherri went, Obama got a standing ovation",positive,LABEL_2,0.5769579410552979
Watchin Espn..Jus seen this new Nike Commerical with a Puppet Lebron..sh*t was hilarious...LMAO!!!,positive,LABEL_2,0.7973344922065735
"dear nike, stop with the flywire. that shit is a waste of science. and ugly. love, @vincentx24x",negative,LABEL_0,0.9547209739685059
"#lebron best athlete of our generation, if not all time (basketball related) I don't want to get into inter-sport debates about   __1/2",positive,LABEL_1,0.47163379192352295
I was talking to this guy last night and he was telling me that he is a die hard Spurs fan.  He also told me that he hates LeBron James.,negative,LABEL_0,0.757154107093811
i love lebron. http://bit.ly/PdHur,positive,LABEL_2,0.9835622906684875
"@ludajuice Lebron is a Beast, but I'm still cheering 4 the A..til the end.",negative,LABEL_2,0.855265200138092
@Pmillzz lebron IS THE BOSS,positive,LABEL_2,0.5755074620246887
"@sketchbug Lebron is a hometown hero to me, lol I love the Lakers but let's go Cavs, lol",positive,LABEL_2,0.9398519396781921
lebron and zydrunas are such an awesome duo,positive,LABEL_2,0.9885417222976685
@wordwhizkid Lebron is a beast... nobody in the NBA comes even close.,positive,LABEL_2,0.8477412462234497
downloading apps for my iphone! So much fun :-) There literally is an app for just about anything.,positive,LABEL_2,0.9895027875900269
"good news, just had a call from the Visa office, saying everything is fine.....what a relief! I am sick of scams out there! Stealing!",positive,LABEL_2,0.5430330038070679
http://twurl.nl/epkr4b - awesome come back from @biz (via @fredwilson),positive,LABEL_2,0.9660003781318665
In montreal for a long weekend of R&amp;R. Much needed.,positive,LABEL_2,0.7638201713562012
Booz Allen Hamilton has a bad ass homegrown social collaboration platform. Way cool!  #ttiv,positive,LABEL_2,0.9818097352981567
[#MLUC09] Customer Innovation Award Winner: Booz Allen Hamilton -- http://ping.fm/c2hPP,positive,LABEL_1,0.6809022426605225
"@SoChi2 I current use the Nikon D90 and love it, but not as much as the Canon 40D/50D. I chose the D90 for the  video feature. My mistake.",positive,LABEL_1,0.4096830487251282
need suggestions for a good IR filter for my canon 40D ... got some? pls DM,neutral,LABEL_1,0.871325671672821
@surfit: I just checked my google for my business- blip shows up as the second entry! Huh. Is that a good or ba... ? http://blip.fm/~6emhv,neutral,LABEL_1,0.5511102080345154
"@phyreman9 Google is always a good place to look. Should've mentioned I worked on the Mustang w/ my Dad, @KimbleT.",positive,LABEL_2,0.8245247602462769
Played with an android google phone. The slide out screen scares me I would break that fucker so fast. Still prefer my iPhone.,negative,LABEL_0,0.8713624477386475
US planning to resume the military tribunals at Guantanamo Bay... only this time those on trial will be AIG execs and Chrysler debt holders,negative,LABEL_1,0.7535746693611145
