text,expected_sentiment,model_output,confidence_score
"@stellargirl I loooooooovvvvvveee my Kindle2. Not that the DX is cool, but the 2 is fantastic in its own right.",positive,positive,0.8991003632545471
Reading my kindle2...  Love it... Lee childs is good read.,positive,positive,0.9260485768318176
"Ok, first assesment of the #kindle2 ...it fucking rocks!!!",positive,positive,0.9353448748588562
@kenburbary You'll love your Kindle2. I've had mine for a few months and never looked back. The new big one is huge! No need for remorse! :),positive,positive,0.9134337306022644
@mikefish  Fair enough. But i have the Kindle2 and I think it's perfect  :),positive,positive,0.8870110511779785
@richardebaker no. it is too big. I'm quite happy with the Kindle2.,positive,positive,0.6791623830795288
Fuck this economy. I hate aig and their non loan given asses.,negative,negative,0.9630675315856934
Jquery is my new best friend.,positive,positive,0.8176681399345398
Loves twitter,positive,positive,0.7567190527915955
how can you not love Obama? he makes jokes about himself.,positive,negative,0.4339959919452667
Check this video out -- President Obama at the White House Correspondents' Dinner http://bit.ly/IMXUM,neutral,neutral,0.7840692400932312
"@Karoli I firmly believe that Obama/Pelosi have ZERO desire to be civil.  It's a charade and a slogan, but they want to destroy conservatism",negative,negative,0.9363836646080017
"House Correspondents dinner was last night whoopi, barbara &amp; sherri went, Obama got a standing ovation",positive,neutral,0.5467995405197144
Watchin Espn..Jus seen this new Nike Commerical with a Puppet Lebron..sh*t was hilarious...LMAO!!!,positive,positive,0.5890997648239136
"dear nike, stop with the flywire. that shit is a waste of science. and ugly. love, @vincentx24x",negative,negative,0.9594306349754333
"#lebron best athlete of our generation, if not all time (basketball related) I don't want to get into inter-sport debates about   __1/2",positive,positive,0.5609337687492371
I was talking to this guy last night and he was telling me that he is a die hard Spurs fan.  He also told me that he hates LeBron James.,negative,negative,0.5513476729393005
i love lebron. http://bit.ly/PdHur,positive,positive,0.7356175184249878
"@ludajuice Lebron is a Beast, but I'm still cheering 4 the A..til the end.",negative,positive,0.8970638513565063
@Pmillzz lebron IS THE BOSS,positive,positive,0.8410785794258118
"@sketchbug Lebron is a hometown hero to me, lol I love the Lakers but let's go Cavs, lol",positive,positive,0.9105541706085205
lebron and zydrunas are such an awesome duo,positive,positive,0.8948864340782166
@wordwhizkid Lebron is a beast... nobody in the NBA comes even close.,positive,positive,0.8676766753196716
